slurmstepd: info: Setting TMPDIR to /scratch/10928454. Previous errors about TMPDIR can be discarded
cesga/2020 unloaded
        Preparing the environment for use of the CESGA 2020 software stack.
        Please rebuild modules cache: module --ignore-cache avail
     
cesga/2020 loaded
python/3.9.9 loaded
jupyter-server/1.13.5-python-3.9.9 loaded
jupyterlab/3.2.4-python-3.9.9 loaded

  0%|          | 0/480 [00:00<?, ?batch/s]Restormer model not found. Restormer preprocessing will be disabled.
Available Models: ['FRNet', 'FRNet_1ch', 'FRNetR', 'RoiNet11', 'RoiNet9', 'RoiNet9_plusk', 'RoiNet7', 'RoiNet5', 'RoiNet3', 'RoiNetR', 'RoiNet9x1.5', 'RoiNet7x1.5', 'RoiNet5x1.5', 'RoiNet3x1.5', 'RoiNet9x0.5', 'RoiNet7x0.5', 'RoiNet5x0.5', 'RoiNetx2', 'RoiNet_AblationOne_Simple', 'RoiNet_Ablation3_Simple', 'RoiNet_AblationOne_Residual', 'RoiNet_Ablation3_Residual']
Datasets_library: {'FIVES512': {'paths': {'train': 'dataset/FIVES512/train', 'val': 'dataset/FIVES512/val', 'test': 'dataset/FIVES512/test'}, 'preprocessing': {'start': 0, 'end': 1}}, 'FIVES': {'paths': {'train': 'dataset/FIVES/train', 'val': 'dataset/FIVES/val', 'test': 'dataset/FIVES/test'}, 'preprocessing': {'start': 0, 'end': 1}}}
USING CHANNELS = 3
Available Datasets: ['FIVES512', 'FIVES']

All datasets: {'FIVES512': {'train': <ds.dataset.SegmentationDataset object at 0x152203e16710>, 'val': <ds.dataset.SegmentationDataset object at 0x152203e220d0>, 'test': <ds.dataset.SegmentationDataset object at 0x152203da82d0>}, 'FIVES': {'train': <ds.dataset.SegmentationDataset object at 0x152203da9d50>, 'val': <ds.dataset.SegmentationDataset object at 0x152203d84790>, 'test': <ds.dataset.SegmentationDataset object at 0x152203d87650>}}
Dataset a usar: {'train': <ds.dataset.SegmentationDataset object at 0x152203da9d50>, 'val': <ds.dataset.SegmentationDataset object at 0x152203d84790>, 'test': <ds.dataset.SegmentationDataset object at 0x152203d87650>}
Configuración de Entrenamiento:
  Model: RoiNet_Ablation3_Residual
  Dataset: FIVES
  Config File: code/config/config.json
  Epochs: 300
  Thresh Value: 100
  Batch Size: 1
  Num Workers: 32
  Learning Rate: 0.0001
  Weight Decay: 0.001
  Loss Function: Dice
  Loss Alpha: 0.2
  Loss Beta: 0.8
  Loss Gamma: 0.5
  Logging Enabled: True
  Output Prefix: RoiNet_Ablation3_Residual_
  Augmentation Config: {'enabled': True, 'geometric': False, 'elastic': False, 'intensity_and_color': False, 'gamma': False, 'noise': False, 'otrosfives': True}
  Restormer Enabled: False
  Output Directory: run_benchmark_runs/RoiNet_Ablation3_Residual_result_2025-03-10_12-24-47
Parameters logged to: run_benchmark_runs/RoiNet_Ablation3_Residual_result_2025-03-10_12-24-47/parameters_FIVES_RoiNet_Ablation3_Residual_Dice_True_False.log

Modelo cargado en GPU:
- Parámetros totales: 4687174
- Memoria ocupada por modelo en GPU: 17.88 MB

==== Memoria GPU - Después de cargar el modelo en GPU ====
GPU 0 - Total: 40442.4 MB | Allocated: 17.9 MB | Cached: 24.0 MB


USING: Dice

==== Memoria GPU - Inicio de época ====
GPU 0 - Total: 40442.4 MB | Allocated: 17.9 MB | Cached: 24.0 MB


Train Epoch 0:   0%|          | 0/480 [00:02<?, ?batch/s]
Train Epoch 0:   0%|          | 0/480 [00:12<?, ?batch/s, avg_loss=0.860, curr_loss=0.860, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   0%|          | 1/480 [00:12<1:38:21, 12.32s/batch, avg_loss=0.860, curr_loss=0.860, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   0%|          | 1/480 [00:12<1:38:21, 12.32s/batch, avg_loss=0.860, curr_loss=0.860, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   0%|          | 1/480 [00:12<1:38:21, 12.32s/batch, avg_loss=0.856, curr_loss=0.852, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   0%|          | 1/480 [00:12<1:38:21, 12.32s/batch, avg_loss=0.856, curr_loss=0.852, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   0%|          | 1/480 [00:13<1:38:21, 12.32s/batch, avg_loss=0.871, curr_loss=0.902, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   0%|          | 1/480 [00:13<1:38:21, 12.32s/batch, avg_loss=0.871, curr_loss=0.902, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   0%|          | 1/480 [00:13<1:38:21, 12.32s/batch, avg_loss=0.856, curr_loss=0.808, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   1%|          | 4/480 [00:13<21:39,  2.73s/batch, avg_loss=0.856, curr_loss=0.808, gpu_usage=GPU 0: 140.6MB]  
Train Epoch 0:   1%|          | 4/480 [00:13<21:39,  2.73s/batch, avg_loss=0.856, curr_loss=0.808, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   1%|          | 4/480 [00:14<21:39,  2.73s/batch, avg_loss=0.851, curr_loss=0.831, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   1%|          | 4/480 [00:14<21:39,  2.73s/batch, avg_loss=0.851, curr_loss=0.831, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   1%|          | 4/480 [00:14<21:39,  2.73s/batch, avg_loss=0.846, curr_loss=0.824, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   1%|          | 4/480 [00:14<21:39,  2.73s/batch, avg_loss=0.846, curr_loss=0.824, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   1%|          | 4/480 [00:15<21:39,  2.73s/batch, avg_loss=0.843, curr_loss=0.824, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   1%|▏         | 7/480 [00:15<12:03,  1.53s/batch, avg_loss=0.843, curr_loss=0.824, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   1%|▏         | 7/480 [00:15<12:03,  1.53s/batch, avg_loss=0.843, curr_loss=0.824, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   1%|▏         | 7/480 [00:15<12:03,  1.53s/batch, avg_loss=0.840, curr_loss=0.818, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   1%|▏         | 7/480 [00:15<12:03,  1.53s/batch, avg_loss=0.840, curr_loss=0.818, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   1%|▏         | 7/480 [00:16<12:03,  1.53s/batch, avg_loss=0.834, curr_loss=0.787, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   1%|▏         | 7/480 [00:16<12:03,  1.53s/batch, avg_loss=0.834, curr_loss=0.787, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   1%|▏         | 7/480 [00:16<12:03,  1.53s/batch, avg_loss=0.838, curr_loss=0.869, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   2%|▏         | 10/480 [00:16<08:27,  1.08s/batch, avg_loss=0.838, curr_loss=0.869, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   2%|▏         | 10/480 [00:16<08:27,  1.08s/batch, avg_loss=0.838, curr_loss=0.869, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   2%|▏         | 10/480 [00:17<08:27,  1.08s/batch, avg_loss=0.837, curr_loss=0.831, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   2%|▏         | 10/480 [00:17<08:27,  1.08s/batch, avg_loss=0.837, curr_loss=0.831, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   2%|▏         | 10/480 [00:17<08:27,  1.08s/batch, avg_loss=0.835, curr_loss=0.815, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   2%|▏         | 10/480 [00:17<08:27,  1.08s/batch, avg_loss=0.835, curr_loss=0.815, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   2%|▏         | 10/480 [00:18<08:27,  1.08s/batch, avg_loss=0.830, curr_loss=0.763, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   3%|▎         | 13/480 [00:18<06:39,  1.17batch/s, avg_loss=0.830, curr_loss=0.763, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   3%|▎         | 13/480 [00:18<06:39,  1.17batch/s, avg_loss=0.830, curr_loss=0.763, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   3%|▎         | 13/480 [00:18<06:39,  1.17batch/s, avg_loss=0.824, curr_loss=0.751, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   3%|▎         | 13/480 [00:18<06:39,  1.17batch/s, avg_loss=0.824, curr_loss=0.751, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   3%|▎         | 13/480 [00:19<06:39,  1.17batch/s, avg_loss=0.826, curr_loss=0.858, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   3%|▎         | 13/480 [00:19<06:39,  1.17batch/s, avg_loss=0.826, curr_loss=0.858, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   3%|▎         | 13/480 [00:19<06:39,  1.17batch/s, avg_loss=0.823, curr_loss=0.773, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   3%|▎         | 16/480 [00:19<05:37,  1.38batch/s, avg_loss=0.823, curr_loss=0.773, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   3%|▎         | 16/480 [00:19<05:37,  1.38batch/s, avg_loss=0.823, curr_loss=0.773, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   3%|▎         | 16/480 [00:20<05:37,  1.38batch/s, avg_loss=0.819, curr_loss=0.753, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   3%|▎         | 16/480 [00:20<05:37,  1.38batch/s, avg_loss=0.819, curr_loss=0.753, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   3%|▎         | 16/480 [00:20<05:37,  1.38batch/s, avg_loss=0.817, curr_loss=0.792, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   3%|▎         | 16/480 [00:20<05:37,  1.38batch/s, avg_loss=0.817, curr_loss=0.792, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   3%|▎         | 16/480 [00:21<05:37,  1.38batch/s, avg_loss=0.814, curr_loss=0.750, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   4%|▍         | 19/480 [00:21<04:58,  1.54batch/s, avg_loss=0.814, curr_loss=0.750, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   4%|▍         | 19/480 [00:21<04:58,  1.54batch/s, avg_loss=0.814, curr_loss=0.750, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   4%|▍         | 19/480 [00:21<04:58,  1.54batch/s, avg_loss=0.810, curr_loss=0.731, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   4%|▍         | 19/480 [00:21<04:58,  1.54batch/s, avg_loss=0.810, curr_loss=0.731, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   4%|▍         | 19/480 [00:22<04:58,  1.54batch/s, avg_loss=0.813, curr_loss=0.883, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   4%|▍         | 19/480 [00:22<04:58,  1.54batch/s, avg_loss=0.813, curr_loss=0.883, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   4%|▍         | 19/480 [00:22<04:58,  1.54batch/s, avg_loss=0.815, curr_loss=0.861, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   5%|▍         | 22/480 [00:22<04:33,  1.67batch/s, avg_loss=0.815, curr_loss=0.861, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   5%|▍         | 22/480 [00:22<04:33,  1.67batch/s, avg_loss=0.815, curr_loss=0.861, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   5%|▍         | 22/480 [00:23<04:33,  1.67batch/s, avg_loss=0.812, curr_loss=0.735, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   5%|▍         | 22/480 [00:23<04:33,  1.67batch/s, avg_loss=0.812, curr_loss=0.735, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   5%|▍         | 22/480 [00:23<04:33,  1.67batch/s, avg_loss=0.813, curr_loss=0.851, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   5%|▍         | 22/480 [00:23<04:33,  1.67batch/s, avg_loss=0.813, curr_loss=0.851, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   5%|▍         | 22/480 [00:24<04:33,  1.67batch/s, avg_loss=0.810, curr_loss=0.717, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   5%|▌         | 25/480 [00:24<04:17,  1.77batch/s, avg_loss=0.810, curr_loss=0.717, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   5%|▌         | 25/480 [00:24<04:17,  1.77batch/s, avg_loss=0.810, curr_loss=0.717, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   5%|▌         | 25/480 [00:24<04:17,  1.77batch/s, avg_loss=0.806, curr_loss=0.714, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   5%|▌         | 25/480 [00:24<04:17,  1.77batch/s, avg_loss=0.806, curr_loss=0.714, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   5%|▌         | 25/480 [00:25<04:17,  1.77batch/s, avg_loss=0.803, curr_loss=0.738, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   5%|▌         | 25/480 [00:25<04:17,  1.77batch/s, avg_loss=0.803, curr_loss=0.738, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   5%|▌         | 25/480 [00:25<04:17,  1.77batch/s, avg_loss=0.799, curr_loss=0.681, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   6%|▌         | 28/480 [00:25<04:05,  1.84batch/s, avg_loss=0.799, curr_loss=0.681, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   6%|▌         | 28/480 [00:25<04:05,  1.84batch/s, avg_loss=0.799, curr_loss=0.681, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   6%|▌         | 28/480 [00:26<04:05,  1.84batch/s, avg_loss=0.795, curr_loss=0.674, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   6%|▌         | 28/480 [00:26<04:05,  1.84batch/s, avg_loss=0.795, curr_loss=0.674, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   6%|▌         | 28/480 [00:26<04:05,  1.84batch/s, avg_loss=0.793, curr_loss=0.736, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   6%|▌         | 28/480 [00:26<04:05,  1.84batch/s, avg_loss=0.793, curr_loss=0.736, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   6%|▌         | 28/480 [00:27<04:05,  1.84batch/s, avg_loss=0.788, curr_loss=0.656, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   6%|▋         | 31/480 [00:27<03:56,  1.90batch/s, avg_loss=0.788, curr_loss=0.656, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   6%|▋         | 31/480 [00:27<03:56,  1.90batch/s, avg_loss=0.788, curr_loss=0.656, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   6%|▋         | 31/480 [00:27<03:56,  1.90batch/s, avg_loss=0.785, curr_loss=0.672, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   6%|▋         | 31/480 [00:27<03:56,  1.90batch/s, avg_loss=0.785, curr_loss=0.672, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   6%|▋         | 31/480 [00:28<03:56,  1.90batch/s, avg_loss=0.781, curr_loss=0.658, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   6%|▋         | 31/480 [00:28<03:56,  1.90batch/s, avg_loss=0.781, curr_loss=0.658, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   6%|▋         | 31/480 [00:28<03:56,  1.90batch/s, avg_loss=0.778, curr_loss=0.687, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   7%|▋         | 34/480 [00:28<03:50,  1.93batch/s, avg_loss=0.778, curr_loss=0.687, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   7%|▋         | 34/480 [00:28<03:50,  1.93batch/s, avg_loss=0.778, curr_loss=0.687, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   7%|▋         | 34/480 [00:29<03:50,  1.93batch/s, avg_loss=0.774, curr_loss=0.641, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   7%|▋         | 34/480 [00:29<03:50,  1.93batch/s, avg_loss=0.774, curr_loss=0.641, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   7%|▋         | 34/480 [00:29<03:50,  1.93batch/s, avg_loss=0.772, curr_loss=0.690, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   7%|▋         | 34/480 [00:29<03:50,  1.93batch/s, avg_loss=0.772, curr_loss=0.690, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   7%|▋         | 34/480 [00:30<03:50,  1.93batch/s, avg_loss=0.768, curr_loss=0.634, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   8%|▊         | 37/480 [00:30<03:45,  1.96batch/s, avg_loss=0.768, curr_loss=0.634, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   8%|▊         | 37/480 [00:30<03:45,  1.96batch/s, avg_loss=0.768, curr_loss=0.634, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   8%|▊         | 37/480 [00:30<03:45,  1.96batch/s, avg_loss=0.767, curr_loss=0.709, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   8%|▊         | 37/480 [00:30<03:45,  1.96batch/s, avg_loss=0.767, curr_loss=0.709, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   8%|▊         | 37/480 [00:31<03:45,  1.96batch/s, avg_loss=0.765, curr_loss=0.713, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   8%|▊         | 37/480 [00:31<03:45,  1.96batch/s, avg_loss=0.765, curr_loss=0.713, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   8%|▊         | 37/480 [00:31<03:45,  1.96batch/s, avg_loss=0.764, curr_loss=0.713, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   8%|▊         | 40/480 [00:31<03:42,  1.98batch/s, avg_loss=0.764, curr_loss=0.713, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   8%|▊         | 40/480 [00:31<03:42,  1.98batch/s, avg_loss=0.764, curr_loss=0.713, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   8%|▊         | 40/480 [00:32<03:42,  1.98batch/s, avg_loss=0.760, curr_loss=0.611, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   8%|▊         | 40/480 [00:32<03:42,  1.98batch/s, avg_loss=0.760, curr_loss=0.611, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   8%|▊         | 40/480 [00:32<03:42,  1.98batch/s, avg_loss=0.757, curr_loss=0.632, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   8%|▊         | 40/480 [00:32<03:42,  1.98batch/s, avg_loss=0.757, curr_loss=0.632, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   8%|▊         | 40/480 [00:33<03:42,  1.98batch/s, avg_loss=0.754, curr_loss=0.641, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   9%|▉         | 43/480 [00:33<03:39,  1.99batch/s, avg_loss=0.754, curr_loss=0.641, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   9%|▉         | 43/480 [00:33<03:39,  1.99batch/s, avg_loss=0.754, curr_loss=0.641, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   9%|▉         | 43/480 [00:33<03:39,  1.99batch/s, avg_loss=0.755, curr_loss=0.775, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   9%|▉         | 43/480 [00:33<03:39,  1.99batch/s, avg_loss=0.755, curr_loss=0.775, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   9%|▉         | 43/480 [00:34<03:39,  1.99batch/s, avg_loss=0.757, curr_loss=0.873, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   9%|▉         | 43/480 [00:34<03:39,  1.99batch/s, avg_loss=0.757, curr_loss=0.873, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   9%|▉         | 43/480 [00:34<03:39,  1.99batch/s, avg_loss=0.754, curr_loss=0.605, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  10%|▉         | 46/480 [00:34<03:36,  2.00batch/s, avg_loss=0.754, curr_loss=0.605, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  10%|▉         | 46/480 [00:34<03:36,  2.00batch/s, avg_loss=0.754, curr_loss=0.605, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  10%|▉         | 46/480 [00:35<03:36,  2.00batch/s, avg_loss=0.751, curr_loss=0.596, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  10%|▉         | 46/480 [00:35<03:36,  2.00batch/s, avg_loss=0.751, curr_loss=0.596, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  10%|▉         | 46/480 [00:35<03:36,  2.00batch/s, avg_loss=0.749, curr_loss=0.666, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  10%|▉         | 46/480 [00:35<03:36,  2.00batch/s, avg_loss=0.749, curr_loss=0.666, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  10%|▉         | 46/480 [00:35<03:36,  2.00batch/s, avg_loss=0.747, curr_loss=0.661, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  10%|█         | 49/480 [00:35<03:34,  2.01batch/s, avg_loss=0.747, curr_loss=0.661, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  10%|█         | 49/480 [00:35<03:34,  2.01batch/s, avg_loss=0.747, curr_loss=0.661, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  10%|█         | 49/480 [00:36<03:34,  2.01batch/s, avg_loss=0.745, curr_loss=0.649, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  10%|█         | 49/480 [00:36<03:34,  2.01batch/s, avg_loss=0.745, curr_loss=0.649, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  10%|█         | 49/480 [00:36<03:34,  2.01batch/s, avg_loss=0.745, curr_loss=0.754, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  10%|█         | 49/480 [00:36<03:34,  2.01batch/s, avg_loss=0.745, curr_loss=0.754, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  10%|█         | 49/480 [00:37<03:34,  2.01batch/s, avg_loss=0.745, curr_loss=0.714, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  11%|█         | 52/480 [00:37<03:32,  2.01batch/s, avg_loss=0.745, curr_loss=0.714, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  11%|█         | 52/480 [00:37<03:32,  2.01batch/s, avg_loss=0.745, curr_loss=0.714, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  11%|█         | 52/480 [00:37<03:32,  2.01batch/s, avg_loss=0.742, curr_loss=0.617, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  11%|█         | 52/480 [00:37<03:32,  2.01batch/s, avg_loss=0.742, curr_loss=0.617, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  11%|█         | 52/480 [00:38<03:32,  2.01batch/s, avg_loss=0.740, curr_loss=0.631, gpu_usage=GPU 0: 140.6MB]
