slurmstepd: info: Setting TMPDIR to /scratch/10928678. Previous errors about TMPDIR can be discarded
cesga/2020 unloaded
        Preparing the environment for use of the CESGA 2020 software stack.
        Please rebuild modules cache: module --ignore-cache avail
     
cesga/2020 loaded
python/3.9.9 loaded
jupyter-server/1.13.5-python-3.9.9 loaded
jupyterlab/3.2.4-python-3.9.9 loaded

  0%|          | 0/480 [00:00<?, ?batch/s]Restormer model not found. Restormer preprocessing will be disabled.
Available Models: ['FRNet', 'FRNet_1ch', 'FRNetR', 'RoiNet11', 'RoiNet9', 'RoiNet9_plusk', 'RoiNet7', 'RoiNet5', 'RoiNet3', 'RoiNetR', 'RoiNet9x1.5', 'RoiNet7x1.5', 'RoiNet5x1.5', 'RoiNet3x1.5', 'RoiNet9x0.5', 'RoiNet7x0.5', 'RoiNet5x0.5', 'RoiNetx2', 'RoiNet_AblationOne_Simple', 'RoiNet_Ablation3_Simple', 'RoiNet_AblationOne_Residual', 'RoiNet_Ablation3_Residual']
Datasets_library: {'FIVES512': {'paths': {'train': 'dataset/FIVES512/train', 'val': 'dataset/FIVES512/val', 'test': 'dataset/FIVES512/test'}, 'preprocessing': {'start': 0, 'end': 1}}, 'FIVES': {'paths': {'train': 'dataset/FIVES/train', 'val': 'dataset/FIVES/val', 'test': 'dataset/FIVES/test'}, 'preprocessing': {'start': 0, 'end': 1}}}
USING CHANNELS = 3
Available Datasets: ['FIVES512', 'FIVES']

All datasets: {'FIVES512': {'train': <ds.dataset.SegmentationDataset object at 0x15422f5f28d0>, 'val': <ds.dataset.SegmentationDataset object at 0x15422f5fe290>, 'test': <ds.dataset.SegmentationDataset object at 0x15422f584490>}, 'FIVES': {'train': <ds.dataset.SegmentationDataset object at 0x15422f54df10>, 'val': <ds.dataset.SegmentationDataset object at 0x15422f560950>, 'test': <ds.dataset.SegmentationDataset object at 0x15422f563810>}}
Dataset a usar: {'train': <ds.dataset.SegmentationDataset object at 0x15422f54df10>, 'val': <ds.dataset.SegmentationDataset object at 0x15422f560950>, 'test': <ds.dataset.SegmentationDataset object at 0x15422f563810>}
Configuración de Entrenamiento:
  Model: RoiNet_AblationOne_Residual
  Dataset: FIVES
  Config File: code/config/config.json
  Epochs: 300
  Thresh Value: 100
  Batch Size: 1
  Num Workers: 32
  Learning Rate: 0.0001
  Weight Decay: 0.001
  Loss Function: Dice
  Loss Alpha: 0.2
  Loss Beta: 0.8
  Loss Gamma: 0.5
  Logging Enabled: True
  Output Prefix: RoiNet_AblationOne_Residual_
  Augmentation Config: {'enabled': True, 'geometric': False, 'elastic': False, 'intensity_and_color': False, 'gamma': False, 'noise': False, 'otrosfives': True}
  Restormer Enabled: False
  Output Directory: run_benchmark_runs/RoiNet_AblationOne_Residual_result_2025-03-10_12-35-56
Parameters logged to: run_benchmark_runs/RoiNet_AblationOne_Residual_result_2025-03-10_12-35-56/parameters_FIVES_RoiNet_AblationOne_Residual_Dice_True_False.log

Modelo cargado en GPU:
- Parámetros totales: 4687174
- Memoria ocupada por modelo en GPU: 17.88 MB

==== Memoria GPU - Después de cargar el modelo en GPU ====
GPU 0 - Total: 40442.4 MB | Allocated: 17.9 MB | Cached: 24.0 MB


USING: Dice

==== Memoria GPU - Inicio de época ====
GPU 0 - Total: 40442.4 MB | Allocated: 17.9 MB | Cached: 24.0 MB


Train Epoch 0:   0%|          | 0/480 [00:02<?, ?batch/s]
Train Epoch 0:   0%|          | 0/480 [00:07<?, ?batch/s, avg_loss=0.858, curr_loss=0.858, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   0%|          | 1/480 [00:07<1:03:23,  7.94s/batch, avg_loss=0.858, curr_loss=0.858, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   0%|          | 1/480 [00:07<1:03:23,  7.94s/batch, avg_loss=0.858, curr_loss=0.858, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   0%|          | 1/480 [00:08<1:03:23,  7.94s/batch, avg_loss=0.852, curr_loss=0.847, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   0%|          | 1/480 [00:08<1:03:23,  7.94s/batch, avg_loss=0.852, curr_loss=0.847, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   0%|          | 1/480 [00:08<1:03:23,  7.94s/batch, avg_loss=0.880, curr_loss=0.935, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   0%|          | 1/480 [00:08<1:03:23,  7.94s/batch, avg_loss=0.880, curr_loss=0.935, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   0%|          | 1/480 [00:09<1:03:23,  7.94s/batch, avg_loss=0.861, curr_loss=0.803, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   1%|          | 4/480 [00:09<15:06,  1.90s/batch, avg_loss=0.861, curr_loss=0.803, gpu_usage=GPU 0: 140.6MB]  
Train Epoch 0:   1%|          | 4/480 [00:09<15:06,  1.90s/batch, avg_loss=0.861, curr_loss=0.803, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   1%|          | 4/480 [00:09<15:06,  1.90s/batch, avg_loss=0.855, curr_loss=0.835, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   1%|          | 4/480 [00:09<15:06,  1.90s/batch, avg_loss=0.855, curr_loss=0.835, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   1%|          | 4/480 [00:10<15:06,  1.90s/batch, avg_loss=0.851, curr_loss=0.830, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   1%|          | 4/480 [00:10<15:06,  1.90s/batch, avg_loss=0.851, curr_loss=0.830, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   1%|          | 4/480 [00:10<15:06,  1.90s/batch, avg_loss=0.845, curr_loss=0.808, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   1%|▏         | 7/480 [00:10<09:02,  1.15s/batch, avg_loss=0.845, curr_loss=0.808, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   1%|▏         | 7/480 [00:10<09:02,  1.15s/batch, avg_loss=0.845, curr_loss=0.808, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   1%|▏         | 7/480 [00:11<09:02,  1.15s/batch, avg_loss=0.835, curr_loss=0.763, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   1%|▏         | 7/480 [00:11<09:02,  1.15s/batch, avg_loss=0.835, curr_loss=0.763, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   1%|▏         | 7/480 [00:11<09:02,  1.15s/batch, avg_loss=0.838, curr_loss=0.863, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   1%|▏         | 7/480 [00:11<09:02,  1.15s/batch, avg_loss=0.838, curr_loss=0.863, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   1%|▏         | 7/480 [00:12<09:02,  1.15s/batch, avg_loss=0.835, curr_loss=0.809, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   2%|▏         | 10/480 [00:12<06:46,  1.16batch/s, avg_loss=0.835, curr_loss=0.809, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   2%|▏         | 10/480 [00:12<06:46,  1.16batch/s, avg_loss=0.835, curr_loss=0.809, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   2%|▏         | 10/480 [00:12<06:46,  1.16batch/s, avg_loss=0.828, curr_loss=0.758, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   2%|▏         | 10/480 [00:12<06:46,  1.16batch/s, avg_loss=0.828, curr_loss=0.758, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   2%|▏         | 10/480 [00:13<06:46,  1.16batch/s, avg_loss=0.822, curr_loss=0.757, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   2%|▏         | 10/480 [00:13<06:46,  1.16batch/s, avg_loss=0.822, curr_loss=0.757, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   2%|▏         | 10/480 [00:13<06:46,  1.16batch/s, avg_loss=0.819, curr_loss=0.779, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   3%|▎         | 13/480 [00:13<05:37,  1.38batch/s, avg_loss=0.819, curr_loss=0.779, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   3%|▎         | 13/480 [00:13<05:37,  1.38batch/s, avg_loss=0.819, curr_loss=0.779, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   3%|▎         | 13/480 [00:14<05:37,  1.38batch/s, avg_loss=0.811, curr_loss=0.706, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   3%|▎         | 13/480 [00:14<05:37,  1.38batch/s, avg_loss=0.811, curr_loss=0.706, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   3%|▎         | 13/480 [00:14<05:37,  1.38batch/s, avg_loss=0.812, curr_loss=0.834, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   3%|▎         | 13/480 [00:14<05:37,  1.38batch/s, avg_loss=0.812, curr_loss=0.834, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   3%|▎         | 13/480 [00:15<05:37,  1.38batch/s, avg_loss=0.816, curr_loss=0.876, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   3%|▎         | 16/480 [00:15<04:58,  1.56batch/s, avg_loss=0.816, curr_loss=0.876, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   3%|▎         | 16/480 [00:15<04:58,  1.56batch/s, avg_loss=0.816, curr_loss=0.876, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   3%|▎         | 16/480 [00:15<04:58,  1.56batch/s, avg_loss=0.811, curr_loss=0.733, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   3%|▎         | 16/480 [00:15<04:58,  1.56batch/s, avg_loss=0.811, curr_loss=0.733, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   3%|▎         | 16/480 [00:16<04:58,  1.56batch/s, avg_loss=0.807, curr_loss=0.741, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   3%|▎         | 16/480 [00:16<04:58,  1.56batch/s, avg_loss=0.807, curr_loss=0.741, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   3%|▎         | 16/480 [00:16<04:58,  1.56batch/s, avg_loss=0.804, curr_loss=0.744, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   4%|▍         | 19/480 [00:16<04:33,  1.69batch/s, avg_loss=0.804, curr_loss=0.744, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   4%|▍         | 19/480 [00:16<04:33,  1.69batch/s, avg_loss=0.804, curr_loss=0.744, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   4%|▍         | 19/480 [00:17<04:33,  1.69batch/s, avg_loss=0.805, curr_loss=0.822, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   4%|▍         | 19/480 [00:17<04:33,  1.69batch/s, avg_loss=0.805, curr_loss=0.822, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   4%|▍         | 19/480 [00:17<04:33,  1.69batch/s, avg_loss=0.800, curr_loss=0.705, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   4%|▍         | 19/480 [00:17<04:33,  1.69batch/s, avg_loss=0.800, curr_loss=0.705, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   4%|▍         | 19/480 [00:18<04:33,  1.69batch/s, avg_loss=0.796, curr_loss=0.703, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   5%|▍         | 22/480 [00:18<04:17,  1.78batch/s, avg_loss=0.796, curr_loss=0.703, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   5%|▍         | 22/480 [00:18<04:17,  1.78batch/s, avg_loss=0.796, curr_loss=0.703, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   5%|▍         | 22/480 [00:18<04:17,  1.78batch/s, avg_loss=0.794, curr_loss=0.765, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   5%|▍         | 22/480 [00:18<04:17,  1.78batch/s, avg_loss=0.794, curr_loss=0.765, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   5%|▍         | 22/480 [00:19<04:17,  1.78batch/s, avg_loss=0.792, curr_loss=0.729, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   5%|▍         | 22/480 [00:19<04:17,  1.78batch/s, avg_loss=0.792, curr_loss=0.729, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   5%|▍         | 22/480 [00:19<04:17,  1.78batch/s, avg_loss=0.788, curr_loss=0.709, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   5%|▌         | 25/480 [00:19<04:06,  1.85batch/s, avg_loss=0.788, curr_loss=0.709, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   5%|▌         | 25/480 [00:19<04:06,  1.85batch/s, avg_loss=0.788, curr_loss=0.709, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   5%|▌         | 25/480 [00:20<04:06,  1.85batch/s, avg_loss=0.786, curr_loss=0.715, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   5%|▌         | 25/480 [00:20<04:06,  1.85batch/s, avg_loss=0.786, curr_loss=0.715, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   5%|▌         | 25/480 [00:20<04:06,  1.85batch/s, avg_loss=0.783, curr_loss=0.716, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   5%|▌         | 25/480 [00:20<04:06,  1.85batch/s, avg_loss=0.783, curr_loss=0.716, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   5%|▌         | 25/480 [00:21<04:06,  1.85batch/s, avg_loss=0.783, curr_loss=0.780, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   6%|▌         | 28/480 [00:21<03:58,  1.90batch/s, avg_loss=0.783, curr_loss=0.780, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   6%|▌         | 28/480 [00:21<03:58,  1.90batch/s, avg_loss=0.783, curr_loss=0.780, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   6%|▌         | 28/480 [00:21<03:58,  1.90batch/s, avg_loss=0.781, curr_loss=0.727, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   6%|▌         | 28/480 [00:21<03:58,  1.90batch/s, avg_loss=0.781, curr_loss=0.727, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   6%|▌         | 28/480 [00:22<03:58,  1.90batch/s, avg_loss=0.778, curr_loss=0.680, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   6%|▌         | 28/480 [00:22<03:58,  1.90batch/s, avg_loss=0.778, curr_loss=0.680, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   6%|▌         | 28/480 [00:22<03:58,  1.90batch/s, avg_loss=0.776, curr_loss=0.722, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   6%|▋         | 31/480 [00:22<03:52,  1.93batch/s, avg_loss=0.776, curr_loss=0.722, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   6%|▋         | 31/480 [00:22<03:52,  1.93batch/s, avg_loss=0.776, curr_loss=0.722, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   6%|▋         | 31/480 [00:23<03:52,  1.93batch/s, avg_loss=0.773, curr_loss=0.679, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   6%|▋         | 31/480 [00:23<03:52,  1.93batch/s, avg_loss=0.773, curr_loss=0.679, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   6%|▋         | 31/480 [00:23<03:52,  1.93batch/s, avg_loss=0.770, curr_loss=0.672, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   6%|▋         | 31/480 [00:23<03:52,  1.93batch/s, avg_loss=0.770, curr_loss=0.672, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   6%|▋         | 31/480 [00:24<03:52,  1.93batch/s, avg_loss=0.767, curr_loss=0.683, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   7%|▋         | 34/480 [00:24<03:47,  1.96batch/s, avg_loss=0.767, curr_loss=0.683, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   7%|▋         | 34/480 [00:24<03:47,  1.96batch/s, avg_loss=0.767, curr_loss=0.683, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   7%|▋         | 34/480 [00:24<03:47,  1.96batch/s, avg_loss=0.764, curr_loss=0.666, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   7%|▋         | 34/480 [00:24<03:47,  1.96batch/s, avg_loss=0.764, curr_loss=0.666, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   7%|▋         | 34/480 [00:25<03:47,  1.96batch/s, avg_loss=0.761, curr_loss=0.657, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   7%|▋         | 34/480 [00:25<03:47,  1.96batch/s, avg_loss=0.761, curr_loss=0.657, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   7%|▋         | 34/480 [00:25<03:47,  1.96batch/s, avg_loss=0.759, curr_loss=0.670, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   8%|▊         | 37/480 [00:25<03:44,  1.97batch/s, avg_loss=0.759, curr_loss=0.670, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   8%|▊         | 37/480 [00:25<03:44,  1.97batch/s, avg_loss=0.759, curr_loss=0.670, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   8%|▊         | 37/480 [00:26<03:44,  1.97batch/s, avg_loss=0.756, curr_loss=0.665, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   8%|▊         | 37/480 [00:26<03:44,  1.97batch/s, avg_loss=0.756, curr_loss=0.665, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   8%|▊         | 37/480 [00:26<03:44,  1.97batch/s, avg_loss=0.756, curr_loss=0.745, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   8%|▊         | 37/480 [00:26<03:44,  1.97batch/s, avg_loss=0.756, curr_loss=0.745, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   8%|▊         | 37/480 [00:27<03:44,  1.97batch/s, avg_loss=0.754, curr_loss=0.679, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   8%|▊         | 40/480 [00:27<03:41,  1.99batch/s, avg_loss=0.754, curr_loss=0.679, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   8%|▊         | 40/480 [00:27<03:41,  1.99batch/s, avg_loss=0.754, curr_loss=0.679, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   8%|▊         | 40/480 [00:27<03:41,  1.99batch/s, avg_loss=0.757, curr_loss=0.887, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   8%|▊         | 40/480 [00:27<03:41,  1.99batch/s, avg_loss=0.757, curr_loss=0.887, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   8%|▊         | 40/480 [00:28<03:41,  1.99batch/s, avg_loss=0.756, curr_loss=0.702, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   8%|▊         | 40/480 [00:28<03:41,  1.99batch/s, avg_loss=0.756, curr_loss=0.702, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   8%|▊         | 40/480 [00:28<03:41,  1.99batch/s, avg_loss=0.757, curr_loss=0.790, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   9%|▉         | 43/480 [00:28<03:39,  1.99batch/s, avg_loss=0.757, curr_loss=0.790, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   9%|▉         | 43/480 [00:28<03:39,  1.99batch/s, avg_loss=0.757, curr_loss=0.790, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   9%|▉         | 43/480 [00:29<03:39,  1.99batch/s, avg_loss=0.755, curr_loss=0.660, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   9%|▉         | 43/480 [00:29<03:39,  1.99batch/s, avg_loss=0.755, curr_loss=0.660, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   9%|▉         | 43/480 [00:29<03:39,  1.99batch/s, avg_loss=0.754, curr_loss=0.719, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   9%|▉         | 43/480 [00:29<03:39,  1.99batch/s, avg_loss=0.754, curr_loss=0.719, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:   9%|▉         | 43/480 [00:30<03:39,  1.99batch/s, avg_loss=0.754, curr_loss=0.752, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  10%|▉         | 46/480 [00:30<03:37,  2.00batch/s, avg_loss=0.754, curr_loss=0.752, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  10%|▉         | 46/480 [00:30<03:37,  2.00batch/s, avg_loss=0.754, curr_loss=0.752, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  10%|▉         | 46/480 [00:30<03:37,  2.00batch/s, avg_loss=0.752, curr_loss=0.645, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  10%|▉         | 46/480 [00:30<03:37,  2.00batch/s, avg_loss=0.752, curr_loss=0.645, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  10%|▉         | 46/480 [00:31<03:37,  2.00batch/s, avg_loss=0.753, curr_loss=0.817, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  10%|▉         | 46/480 [00:31<03:37,  2.00batch/s, avg_loss=0.753, curr_loss=0.817, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  10%|▉         | 46/480 [00:31<03:37,  2.00batch/s, avg_loss=0.754, curr_loss=0.796, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  10%|█         | 49/480 [00:31<03:35,  2.00batch/s, avg_loss=0.754, curr_loss=0.796, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  10%|█         | 49/480 [00:31<03:35,  2.00batch/s, avg_loss=0.754, curr_loss=0.796, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  10%|█         | 49/480 [00:32<03:35,  2.00batch/s, avg_loss=0.752, curr_loss=0.641, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  10%|█         | 49/480 [00:32<03:35,  2.00batch/s, avg_loss=0.752, curr_loss=0.641, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  10%|█         | 49/480 [00:32<03:35,  2.00batch/s, avg_loss=0.749, curr_loss=0.598, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  10%|█         | 49/480 [00:32<03:35,  2.00batch/s, avg_loss=0.749, curr_loss=0.598, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  10%|█         | 49/480 [00:33<03:35,  2.00batch/s, avg_loss=0.747, curr_loss=0.672, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  11%|█         | 52/480 [00:33<03:33,  2.01batch/s, avg_loss=0.747, curr_loss=0.672, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  11%|█         | 52/480 [00:33<03:33,  2.01batch/s, avg_loss=0.747, curr_loss=0.672, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  11%|█         | 52/480 [00:33<03:33,  2.01batch/s, avg_loss=0.747, curr_loss=0.762, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  11%|█         | 52/480 [00:33<03:33,  2.01batch/s, avg_loss=0.747, curr_loss=0.762, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  11%|█         | 52/480 [00:34<03:33,  2.01batch/s, avg_loss=0.745, curr_loss=0.635, gpu_usage=GPU 0: 140.6MB]
