step,wall_time,tag,type,value
0,1745171235.4649441,Train/activations/ResidualBlock0_1stConvBlock_forward/mean,scalar,0.010491232387721539
1,1745172296.8380625,Train/activations/ResidualBlock0_1stConvBlock_forward/mean,scalar,0.0064557865262031555
2,1745173338.1092098,Train/activations/ResidualBlock0_1stConvBlock_forward/mean,scalar,0.0027773440815508366
3,1745174233.1128976,Train/activations/ResidualBlock0_1stConvBlock_forward/mean,scalar,0.001368853496387601
4,1745175273.5474515,Train/activations/ResidualBlock0_1stConvBlock_forward/mean,scalar,0.00017269441741518676
5,1745176165.7991712,Train/activations/ResidualBlock0_1stConvBlock_forward/mean,scalar,0.002133122179657221
6,1745177057.4246087,Train/activations/ResidualBlock0_1stConvBlock_forward/mean,scalar,-0.003939694259315729
7,1745178097.8275,Train/activations/ResidualBlock0_1stConvBlock_forward/mean,scalar,-0.002825592877343297
8,1745179142.344747,Train/activations/ResidualBlock0_1stConvBlock_forward/mean,scalar,-0.0037391509395092726
9,1745180055.5609968,Train/activations/ResidualBlock0_1stConvBlock_forward/mean,scalar,-0.00149316038005054
10,1745181105.833447,Train/activations/ResidualBlock0_1stConvBlock_forward/mean,scalar,0.0009388765320181847
11,1745182002.4289904,Train/activations/ResidualBlock0_1stConvBlock_forward/mean,scalar,0.0019021781627088785
12,1745182902.5391076,Train/activations/ResidualBlock0_1stConvBlock_forward/mean,scalar,-0.0009189426200464368
13,1745183792.1432922,Train/activations/ResidualBlock0_1stConvBlock_forward/mean,scalar,-0.0008998479461297393
14,1745184693.3146071,Train/activations/ResidualBlock0_1stConvBlock_forward/mean,scalar,-0.0013770066434517503
15,1745185595.492873,Train/activations/ResidualBlock0_1stConvBlock_forward/mean,scalar,0.00018838861433323473
16,1745186496.719484,Train/activations/ResidualBlock0_1stConvBlock_forward/mean,scalar,-0.00041545910062268376
17,1745187405.2416632,Train/activations/ResidualBlock0_1stConvBlock_forward/mean,scalar,0.00272370595484972
18,1745188306.29171,Train/activations/ResidualBlock0_1stConvBlock_forward/mean,scalar,0.0021323850378394127
19,1745189207.7143486,Train/activations/ResidualBlock0_1stConvBlock_forward/mean,scalar,0.0007286422187462449
20,1745190256.0477643,Train/activations/ResidualBlock0_1stConvBlock_forward/mean,scalar,-0.00045974302338436246
21,1745191170.6374826,Train/activations/ResidualBlock0_1stConvBlock_forward/mean,scalar,0.0005493639037013054
22,1745192071.8580713,Train/activations/ResidualBlock0_1stConvBlock_forward/mean,scalar,-0.0013937974581494927
23,1745192964.1985605,Train/activations/ResidualBlock0_1stConvBlock_forward/mean,scalar,-0.0020774882286787033
24,1745193856.0692625,Train/activations/ResidualBlock0_1stConvBlock_forward/mean,scalar,-0.003643287345767021
25,1745194746.1217604,Train/activations/ResidualBlock0_1stConvBlock_forward/mean,scalar,-0.0005355352768674493
26,1745195628.7141776,Train/activations/ResidualBlock0_1stConvBlock_forward/mean,scalar,-0.00196087290532887
27,1745196516.4113503,Train/activations/ResidualBlock0_1stConvBlock_forward/mean,scalar,-0.001209792448207736
28,1745197400.558198,Train/activations/ResidualBlock0_1stConvBlock_forward/mean,scalar,-0.001244229613803327
29,1745198281.6249487,Train/activations/ResidualBlock0_1stConvBlock_forward/mean,scalar,-0.0015865331515669823
30,1745199160.759308,Train/activations/ResidualBlock0_1stConvBlock_forward/mean,scalar,-0.0006091510877013206
31,1745200038.8737981,Train/activations/ResidualBlock0_1stConvBlock_forward/mean,scalar,-0.001378052867949009
32,1745200913.128902,Train/activations/ResidualBlock0_1stConvBlock_forward/mean,scalar,-0.0008635653066448867
33,1745201943.3652742,Train/activations/ResidualBlock0_1stConvBlock_forward/mean,scalar,-0.000987019157037139
34,1745202839.3989184,Train/activations/ResidualBlock0_1stConvBlock_forward/mean,scalar,-0.000842380803078413
35,1745203720.3448067,Train/activations/ResidualBlock0_1stConvBlock_forward/mean,scalar,-0.002578192623332143
36,1745204589.3852932,Train/activations/ResidualBlock0_1stConvBlock_forward/mean,scalar,-0.0003161013300996274
37,1745205607.4722455,Train/activations/ResidualBlock0_1stConvBlock_forward/mean,scalar,-0.0013081457000225782
38,1745206470.3524764,Train/activations/ResidualBlock0_1stConvBlock_forward/mean,scalar,-0.0021878769621253014
39,1745207343.4604063,Train/activations/ResidualBlock0_1stConvBlock_forward/mean,scalar,-7.33887281967327e-05
40,1745208209.365458,Train/activations/ResidualBlock0_1stConvBlock_forward/mean,scalar,-0.0014940823893994093
41,1745209076.0211682,Train/activations/ResidualBlock0_1stConvBlock_forward/mean,scalar,-0.0014568795450031757
42,1745209942.7677803,Train/activations/ResidualBlock0_1stConvBlock_forward/mean,scalar,-0.0016911474522203207
43,1745210815.3864684,Train/activations/ResidualBlock0_1stConvBlock_forward/mean,scalar,-0.0024701342917978764
44,1745211689.1705909,Train/activations/ResidualBlock0_1stConvBlock_forward/mean,scalar,-0.001564974314533174
45,1745212555.264435,Train/activations/ResidualBlock0_1stConvBlock_forward/mean,scalar,-0.0006549638928845525
46,1745213417.360195,Train/activations/ResidualBlock0_1stConvBlock_forward/mean,scalar,-0.0037812800146639347
47,1745214282.5666997,Train/activations/ResidualBlock0_1stConvBlock_forward/mean,scalar,-0.0030986620113253593
48,1745215148.0732422,Train/activations/ResidualBlock0_1stConvBlock_forward/mean,scalar,-0.0016986532136797905
49,1745216019.6725025,Train/activations/ResidualBlock0_1stConvBlock_forward/mean,scalar,9.740389214130118e-05
50,1745216894.0832448,Train/activations/ResidualBlock0_1stConvBlock_forward/mean,scalar,-0.00027625466464087367
51,1745217756.6057198,Train/activations/ResidualBlock0_1stConvBlock_forward/mean,scalar,-0.0022078666370362043
52,1745218620.6402874,Train/activations/ResidualBlock0_1stConvBlock_forward/mean,scalar,-0.001245000516064465
53,1745219494.3721173,Train/activations/ResidualBlock0_1stConvBlock_forward/mean,scalar,0.00020732206758111715
54,1745220361.1482,Train/activations/ResidualBlock0_1stConvBlock_forward/mean,scalar,-0.001536586438305676
55,1745221224.4050255,Train/activations/ResidualBlock0_1stConvBlock_forward/mean,scalar,-0.0012408732436597347
56,1745222085.8659375,Train/activations/ResidualBlock0_1stConvBlock_forward/mean,scalar,-0.002531878650188446
57,1745222948.8962831,Train/activations/ResidualBlock0_1stConvBlock_forward/mean,scalar,-0.0009208632400259376
58,1745223809.5723608,Train/activations/ResidualBlock0_1stConvBlock_forward/mean,scalar,-0.001340690185315907
59,1745224668.298555,Train/activations/ResidualBlock0_1stConvBlock_forward/mean,scalar,0.0008827048586681485
60,1745225543.6830366,Train/activations/ResidualBlock0_1stConvBlock_forward/mean,scalar,-0.00044051799341104925
61,1745226401.9242027,Train/activations/ResidualBlock0_1stConvBlock_forward/mean,scalar,-0.0017245874041691422
62,1745227259.5799494,Train/activations/ResidualBlock0_1stConvBlock_forward/mean,scalar,0.00032061789534054697
0,1745171235.4651582,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.08995924890041351
1,1745172296.838276,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.04879118129611015
2,1745173338.1094701,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.03025195375084877
3,1745174233.1131072,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.031449224799871445
4,1745175273.547704,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.02729465439915657
5,1745176165.7993853,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.024830807000398636
6,1745177057.4248302,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.04323578625917435
7,1745178097.8277204,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.03913235664367676
8,1745179142.3449764,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.03893883153796196
9,1745180055.5612605,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.02635890245437622
10,1745181105.8336685,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.031393107026815414
11,1745182002.4292688,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.02582365833222866
12,1745182902.5393226,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.023273175582289696
13,1745183792.1435108,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.025638733059167862
14,1745184693.314824,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.022910261526703835
15,1745185595.493077,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.017980266362428665
16,1745186496.719698,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.02775699831545353
17,1745187405.241897,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.022756706923246384
18,1745188306.2919252,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.018856383860111237
19,1745189207.7145698,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.020838206633925438
20,1745190256.0479913,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.024180179461836815
21,1745191170.6376953,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.021958421915769577
22,1745192071.8582842,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.031108472496271133
23,1745192964.1987727,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.023654509335756302
24,1745193856.0694823,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.02154792845249176
25,1745194746.1219845,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.021411709487438202
26,1745195628.7143872,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.022731754928827286
27,1745196516.4115672,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.019033124670386314
28,1745197400.5584018,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.019724717363715172
29,1745198281.6251636,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.02269567921757698
30,1745199160.759564,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.023010943084955215
31,1745200038.8740816,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.022497650235891342
32,1745200913.1291099,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.02347942627966404
33,1745201943.365487,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.026255887001752853
34,1745202839.3992045,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.02291245386004448
35,1745203720.3450801,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.02237662486732006
36,1745204589.3855047,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.019954124465584755
37,1745205607.4724593,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.019914798438549042
38,1745206470.3527033,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.022306133061647415
39,1745207343.460623,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.01909819431602955
40,1745208209.3656695,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.019574441015720367
41,1745209076.0213778,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.01922902837395668
42,1745209942.7679832,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.017636489123106003
43,1745210815.3866746,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.022413820028305054
44,1745211689.170799,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.02175608091056347
45,1745212555.2646496,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.022481771185994148
46,1745213417.3604093,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.019946863874793053
47,1745214282.566908,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.02722354792058468
48,1745215148.0734334,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.027476048097014427
49,1745216019.672693,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.024621352553367615
50,1745216894.0834527,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.019271748140454292
51,1745217756.6059356,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.023327406495809555
52,1745218620.6405582,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.02690178155899048
